condition,case,category,wer,wder,sub,del,ins,ref_words,hyp_words
model_small,CAR0002,CAR,0.1370892018779342,0.1114398422090729,68,51,27,1065,1041
model_small,DER0001,DER,0.1704697986577181,0.0110573600552868,116,43,95,1490,1542
model_small,GAS0007,GAS,0.1320541760722347,0.0175438596491228,63,31,23,886,878
model_small,GEN0001,GEN,0.1066545123062898,0.0135396518375241,32,63,22,1097,1056
model_small,MSK0008,MSK,0.1514084507042253,0.004441154700222,120,69,26,1420,1377
model_small,MSK0013,MSK,0.1304623179227359,0.0087189805499664,91,88,27,1579,1518
model_small,MSK0017,MSK,0.1838888888888888,0.0099564405724953,115,193,23,1800,1630
model_small,MSK0025,MSK,0.1115485564304462,0.013764624913971,78,71,21,1524,1474
model_small,MSK0026,MSK,0.1198224852071005,0.0030792917628945,76,53,33,1352,1332
model_small,MSK0041,MSK,0.132183908045977,0.0027155465037338,88,93,26,1566,1499
model_small,MSK0046,MSK,0.1349840255591054,0.0172562553925798,44,93,32,1252,1191
model_small,RES0012,RES,0.1360381861575179,0.0391566265060241,85,103,97,2095,2089
model_small,RES0021,RES,0.1351351351351351,0.0016625103906899,78,55,37,1258,1240
model_small,RES0025,RES,0.1670313639679066,0.0040160642570281,83,126,20,1371,1265
model_small,RES0030,RES,0.1188870151770657,0.0182608695652173,74,36,31,1186,1181
model_small,RES0047,RES,0.1773718326458456,0.0052666227781435,102,178,21,1697,1540
model_small,RES0051,RES,0.1476923076923077,0.0063897763578274,66,36,42,975,981
model_small,RES0052,RES,0.1926829268292683,0.0197109067017082,72,59,27,820,788
model_small,RES0053,RES,0.1912225705329153,0.0277629471436198,146,41,179,1914,2052
model_small,RES0059,RES,0.2309985096870342,0.0484848484848484,114,22,174,1342,1494
model_small,RES0062,RES,0.1393188854489164,0.0069407367859049,125,65,80,1938,1953
model_small,RES0071,RES,0.1103395061728395,0.0608766233766233,29,64,50,1296,1282
model_small,RES0074,RES,0.1082854799015586,0.0366581415174765,41,46,45,1219,1218
model_small,RES0083,RES,0.1740473738414006,0.0102389078498293,49,92,28,971,907
model_small,RES0098,RES,0.1213592233009708,0.031024531024531,84,56,35,1442,1421
model_small,RES0100,RES,0.1236933797909407,0.0387931034482758,78,98,37,1722,1661
model_small,RES0104,RES,0.1376146788990825,0.0464310464310464,77,83,50,1526,1493
model_small,RES0106,RES,0.1654733492442323,0.0757071547420965,92,55,61,1257,1263
model_small,RES0109,RES,0.1536697247706422,0.0667475728155339,64,48,22,872,846
model_small,RES0118,RES,0.1406727828746177,0.0033975084937712,34,98,6,981,889
model_small,RES0123,RES,0.1551625784369652,0.0127226463104325,59,181,32,1753,1604
model_small,RES0127,RES,0.1449683321604503,0.0112697220135236,72,90,44,1421,1375
model_small,RES0132,RES,0.1286843997124371,0.0047808764940239,31,136,12,1391,1267
model_small,RES0134,RES,0.1280873061458931,0.0050825921219822,37,167,19,1741,1593
model_small,RES0143,RES,0.1679653679653679,0.0049019607843137,48,135,11,1155,1031
model_small,RES0155,RES,0.2016021361815754,0.0186625194401244,80,212,10,1498,1296
model_small,RES0160,RES,0.1210478771454381,0.001926782273603,43,69,22,1107,1060
model_small,RES0163,RES,0.1337907375643224,0.0128440366972477,36,76,44,1166,1134
model_small,RES0173,RES,0.1662571662571662,0.0140350877192982,93,81,29,1221,1169
model_small,RES0207,RES,0.1478260869565217,0.052219321148825,53,39,27,805,793
model_medium,CAR0002,CAR,0.1258215962441314,0.1033464566929133,57,49,28,1065,1044
model_medium,DER0001,DER,0.1322147651006711,0.0092198581560283,84,80,33,1490,1443
model_medium,GAS0007,GAS,0.1218961625282167,0.0117647058823529,39,36,33,886,883
model_medium,GEN0001,GEN,0.1221513217866909,0.0115830115830115,50,61,23,1097,1059
model_medium,MSK0008,MSK,0.1380281690140845,0.0036954915003695,102,67,27,1420,1380
model_medium,MSK0013,MSK,0.1304623179227359,0.0047169811320754,90,95,21,1579,1505
model_medium,MSK0017,MSK,0.1466666666666666,0.0077704722056186,109,127,28,1800,1701
model_medium,MSK0025,MSK,0.1003937007874015,0.0124223602484472,66,75,12,1524,1461
model_medium,MSK0026,MSK,0.1213017751479289,0.0053557765876052,84,45,35,1352,1342
model_medium,MSK0041,MSK,0.1219667943805874,0.0020256583389601,85,85,21,1566,1502
